"","Team","GP","TOI","W","L","OTL","ROW","Points","Point %","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","SCF","SCA","SCF%","SCSF","SCSA","SCSF%","SCGF","SCGA","SCGF%","SCSH%","SCSV%","HDCF","HDCA","HDCF%","HDSF","HDSA","HDSF%","HDGF","HDGA","HDGF%","HDSH%","HDSV%","MDCF","MDCA","MDCF%","MDSF","MDSA","MDSF%","MDGF","MDGA","MDGF%","MDSH%","MDSV%","LDCF","LDCA","LDCF%","LDSF","LDSA","LDSF%","LDGF","LDGA","LDGF%","LDSH%","LDSV%","SH%","SV%","PDO"
"11","Edmonton Oilers","82","4981.9","29","44","9","25","67","0.409","4101","5085","44.64","3046","3833","44.28","2209","2696","45.04","199","267","42.70","202.76","254.32","44.36","2031","2399","45.85","1261","1432","46.83","167","210","44.30","13.24","85.34","790","936","45.77","590","717","45.14","110","134","45.08","18.64","81.31","1241","1463","45.89","671","715","48.41","57","76","42.86","8.49","89.37","1755","2330","42.96","891","1192","42.77","28","53","34.57","3.14","95.55","9.01","90.10","0.991"
"12","Florida Panthers","82","4996.8667","29","45","8","21","66","0.402","4467","4402","50.37","3404","3420","49.88","2451","2551","49.00","188","262","41.78","206.68","220.67","48.36","2038","2083","49.45","1275","1387","47.90","156","214","42.16","12.24","84.57","759","879","46.34","579","693","45.52","99","148","40.08","17.10","78.64","1279","1204","51.51","696","694","50.07","57","66","46.34","8.19","90.49","2107","2038","50.83","1095","1115","49.55","30","46","39.47","2.74","95.87","7.67","89.73","0.974"
"13","Los Angeles Kings","82","5001.3833","46","28","8","38","100","0.610","5067","4032","55.69","3783","3105","54.92","2595","2150","54.69","198","168","54.10","237.74","198.87","54.45","2175","1822","54.42","1281","1077","54.33","159","131","54.83","12.41","87.84","892","783","53.25","646","584","52.52","102","93","52.31","15.79","84.08","1283","1039","55.25","635","493","56.29","57","38","60.00","8.98","92.29","2427","1904","56.04","1211","994","54.92","34","32","51.52","2.81","96.78","7.63","92.19","0.998"
"14","Minnesota Wild","82","5020.0333","43","27","12","35","98","0.598","4078","4314","48.59","3041","3188","48.82","2181","2273","48.97","199","198","50.13","185.6","184.78","50.11","1807","1778","50.40","1071","1034","50.88","159","155","50.64","14.85","85.01","727","690","51.31","541","518","51.09","107","104","50.71","19.78","79.92","1080","1088","49.82","530","516","50.67","52","51","50.49","9.81","90.12","1926","2114","47.67","1043","1162","47.30","39","36","52.00","3.74","96.90","9.12","91.29","1.004"
"15","Montreal Canadiens","82","4991.65","46","28","8","40","100","0.610","4452","5013","47.04","3273","3522","48.17","2331","2542","47.84","209","201","50.98","216.38","225.41","48.98","1961","2239","46.69","1147","1302","46.84","171","170","50.15","14.91","86.94","886","890","49.89","650","625","50.98","115","114","50.22","17.69","81.76","1075","1349","44.35","497","677","42.33","56","56","50.00","11.27","91.73","2086","2292","47.65","1093","1142","48.90","35","27","56.45","3.20","97.64","8.97","92.09","1.011"
"16","New Jersey Devils","82","5014.6","35","29","18","35","88","0.537","4045","3649","52.57","3032","2800","51.99","2200","2089","51.29","197","195","50.26","191.74","179.43","51.66","1933","1714","53.00","1205","1078","52.78","157","144","52.16","13.03","86.64","762","650","53.97","586","519","53.03","97","91","51.60","16.55","82.47","1171","1064","52.39","619","559","52.55","60","53","53.10","9.69","90.52","1841","1659","52.60","952","918","50.91","37","44","45.68","3.89","95.21","8.95","90.67","0.996"
"17","Nashville Predators","82","4989.9","38","32","12","36","88","0.537","4240","4556","48.20","3241","3326","49.35","2382","2370","50.13","214","233","47.87","195.37","191.1","50.55","1857","1899","49.44","1188","1158","50.64","176","193","47.70","14.81","83.33","751","694","51.97","581","510","53.25","124","115","51.88","21.34","77.45","1106","1205","47.86","607","648","48.37","52","78","40.00","8.57","87.96","1985","2162","47.87","1087","1120","49.25","33","38","46.48","3.04","96.61","8.98","90.17","0.992"
"18","New York Islanders","82","5015.7833","34","37","11","25","79","0.482","4730","4727","50.02","3468","3485","49.88","2537","2465","50.72","216","261","45.28","242.86","238.33","50.47","2411","2388","50.24","1498","1425","51.25","172","220","43.88","11.48","84.56","1052","1015","50.90","811","765","51.46","117","163","41.79","14.43","78.69","1359","1373","49.74","687","660","51.00","55","57","49.11","8.01","91.36","1897","1929","49.58","944","949","49.87","39","35","52.70","4.13","96.31","8.51","89.41","0.979"
"19","New York Rangers","82","4966.8","45","31","6","41","96","0.585","4974","4431","52.89","3712","3312","52.85","2719","2412","52.99","214","190","52.97","245.05","219.55","52.74","2362","2086","53.10","1451","1288","52.98","176","155","53.17","12.13","87.97","1058","904","53.92","781","694","52.95","119","115","50.85","15.24","83.43","1304","1182","52.45","670","594","53.01","57","40","58.76","8.51","93.27","2200","1992","52.48","1176","1040","53.07","34","34","50.00","2.89","96.73","7.87","92.12","1.000"
"20","Ottawa Senators","82","5008.7","37","31","14","30","88","0.537","5032","4787","51.25","3784","3832","49.68","2692","2850","48.57","229","258","47.02","221","238.67","48.08","2058","2150","48.91","1237","1353","47.76","179","206","46.49","14.47","84.77","784","926","45.85","591","708","45.50","111","142","43.87","18.78","79.94","1274","1224","51.00","646","645","50.04","68","64","51.52","10.53","90.08","2579","2300","52.86","1381","1391","49.82","50","48","51.02","3.62","96.55","8.51","90.95","0.995"
"21","Philadelphia Flyers","82","4991.6833","42","30","10","39","94","0.573","4776","4622","50.82","3495","3422","50.53","2490","2508","49.82","233","227","50.65","221.2","213.22","50.92","1964","2029","49.19","1159","1207","48.99","178","178","50.00","15.36","85.25","789","766","50.74","581","569","50.52","110","122","47.41","18.93","78.56","1175","1263","48.20","578","638","47.53","68","56","54.84","11.76","91.22","2277","2187","51.01","1174","1191","49.64","44","45","49.44","3.75","96.22","9.36","90.95","1.003"
"22","Phoenix Coyotes","82","5016.35","37","30","15","31","89","0.543","4705","4636","50.37","3497","3506","49.94","2499","2541","49.58","210","224","48.39","205.3","226.02","47.60","1973","2117","48.24","1169","1315","47.06","160","159","50.16","13.69","87.91","822","911","47.43","588","677","46.48","114","101","53.02","19.39","85.08","1151","1206","48.83","581","638","47.66","46","58","44.23","7.92","90.91","2279","2143","51.54","1201","1130","51.52","45","56","44.55","3.75","95.04","8.40","91.18","0.996"
"23","Pittsburgh Penguins","82","4986.8833","51","24","7","44","109","0.665","4402","4529","49.29","3319","3342","49.83","2454","2359","50.99","242","204","54.26","208.16","199.64","51.05","2012","1946","50.83","1264","1171","51.91","202","166","54.89","15.98","85.82","757","785","49.09","588","585","50.13","125","102","55.07","21.26","82.56","1255","1161","51.95","676","586","53.57","77","64","54.61","11.39","89.08","2109","2186","49.10","1136","1103","50.74","36","35","50.70","3.17","96.83","9.86","91.35","1.012"
"24","San Jose Sharks","82","5021","51","22","9","41","111","0.677","5379","4492","54.49","3999","3206","55.50","2851","2282","55.54","239","193","55.32","262.82","188.27","58.26","2540","1812","58.36","1525","1122","57.61","190","155","55.07","12.46","86.19","1023","732","58.29","785","534","59.51","140","99","58.58","17.83","81.46","1517","1080","58.41","740","588","55.72","50","56","47.17","6.76","90.48","2417","2151","52.91","1235","1071","53.56","46","35","56.79","3.72","96.73","8.38","91.54","0.999"
"25","St Louis Blues","82","5002.0333","52","23","7","43","111","0.677","4621","4155","52.65","3429","3034","53.06","2403","2163","52.63","239","188","55.97","206.74","190.32","52.07","2071","1897","52.19","1197","1114","51.80","185","147","55.72","15.46","86.80","751","680","52.48","562","518","52.04","112","94","54.37","19.93","81.85","1320","1217","52.03","635","596","51.58","73","53","57.94","11.50","91.11","2160","1892","53.31","1128","966","53.87","48","40","54.55","4.26","95.86","9.95","91.31","1.013"
"26","Tampa Bay Lightning","82","5012.9333","46","27","9","38","101","0.616","4478","4527","49.73","3443","3406","50.27","2447","2399","50.50","232","209","52.61","204.13","208.13","49.52","2144","2095","50.58","1332","1315","50.32","190","176","51.91","14.26","86.62","809","804","50.15","600","607","49.71","117","111","51.32","19.50","81.71","1335","1291","50.84","732","708","50.83","73","65","52.90","9.97","90.82","2065","2103","49.54","1059","1014","51.09","39","28","58.21","3.68","97.24","9.48","91.29","1.008"
"27","Toronto Maple Leafs","82","5007.2333","38","36","8","29","84","0.512","4265","5508","43.64","3157","4230","42.74","2292","2945","43.77","222","252","46.84","197.77","253.13","43.86","1903","2404","44.18","1182","1423","45.37","177","203","46.58","14.97","85.73","719","929","43.63","549","670","45.04","108","124","46.55","19.67","81.49","1184","1475","44.53","633","753","45.67","69","79","46.62","10.90","89.51","2063","2744","42.92","1043","1423","42.30","39","44","46.99","3.74","96.91","9.69","91.44","1.011"
"28","Vancouver Canucks","82","5007.85","36","35","11","31","83","0.506","4807","4491","51.70","3558","3274","52.08","2527","2328","52.05","191","216","46.93","209.2","209.51","49.96","2126","2137","49.87","1194","1231","49.24","145","179","44.75","12.14","85.46","871","817","51.60","618","579","51.63","100","119","45.66","16.18","79.45","1255","1320","48.74","576","652","46.91","45","60","42.86","7.81","90.80","2250","2029","52.58","1201","1028","53.88","43","32","57.33","3.58","96.89","7.56","90.72","0.983"
"29","Winnipeg Jets","82","5013.05","37","35","10","29","84","0.512","4762","4713","50.26","3543","3457","50.61","2516","2473","50.43","219","231","48.67","229.62","229.24","50.04","2085","2085","50.00","1277","1284","49.86","179","185","49.18","14.02","85.59","895","892","50.08","668","667","50.04","114","132","46.34","17.07","80.21","1190","1193","49.94","609","617","49.67","65","53","55.08","10.67","91.41","2209","2147","50.71","1148","1093","51.23","38","46","45.24","3.31","95.79","8.70","90.66","0.994"
"30","Washington Capitals","82","5037.1","38","30","14","28","90","0.549","4522","4975","47.62","3365","3764","47.20","2413","2751","46.73","225","229","49.56","209.62","230.21","47.66","2074","2278","47.66","1279","1384","48.03","171","184","48.17","13.37","86.71","771","860","47.27","585","631","48.11","109","106","50.70","18.63","83.20","1303","1418","47.89","694","753","47.96","62","78","44.29","8.93","89.64","2103","2343","47.30","1063","1291","45.16","52","43","54.74","4.89","96.67","9.32","91.68","1.010"
