"","Team","GP","TOI","W","L","OTL","ROW","Points","Point %","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","SCF","SCA","SCF%","SCSF","SCSA","SCSF%","SCGF","SCGA","SCGF%","SCSH%","SCSV%","HDCF","HDCA","HDCF%","HDSF","HDSA","HDSF%","HDGF","HDGA","HDGF%","HDSH%","HDSV%","MDCF","MDCA","MDCF%","MDSF","MDSA","MDSF%","MDGF","MDGA","MDGF%","MDSH%","MDSV%","LDCF","LDCA","LDCF%","LDSF","LDSA","LDSF%","LDGF","LDGA","LDGF%","LDSH%","LDSV%","SH%","SV%","PDO"
"1","Anaheim Ducks","82","4990.8833","54","20","8","51","116","0.707","4707","4678","50.15","3588","3436","51.08","2569","2354","52.18","263","203","56.44","242.55","222.87","52.11","2327","2221","51.17","1433","1299","52.45","218","180","54.77","15.21","86.14","1021","907","52.96","778","689","53.03","156","131","54.36","20.05","80.99","1306","1314","49.85","655","610","51.78","62","49","55.86","9.47","91.97","2069","2143","49.12","1050","978","51.78","40","22","64.52","3.81","97.75","10.24","91.38","1.016"
"2","Boston Bruins","82","4978.8167","54","19","9","51","117","0.713","4838","4278","53.07","3600","3227","52.73","2613","2385","52.28","258","171","60.14","211.66","186.89","53.11","2133","1906","52.81","1288","1170","52.40","202","134","60.12","15.68","88.55","817","745","52.30","631","593","51.55","143","85","62.72","22.66","85.67","1316","1161","53.13","657","577","53.24","59","49","54.63","8.98","91.51","2328","2050","53.17","1217","1087","52.82","50","35","58.82","4.11","96.78","9.87","92.83","1.027"
"3","Buffalo Sabres","82","4994.4667","21","51","10","14","52","0.317","3924","5121","43.38","2935","3883","43.05","2157","2817","43.37","150","243","38.17","180.99","247.79","42.21","1685","2379","41.46","1039","1483","41.20","124","191","39.37","11.93","87.12","777","979","44.25","594","729","44.90","93","118","44.08","15.66","83.81","908","1400","39.34","445","754","37.11","31","73","29.81","6.97","90.32","1903","2351","44.73","1030","1266","44.86","23","46","33.33","2.23","96.37","6.95","91.37","0.983"
"4","Carolina Hurricanes","82","4979.15","36","35","11","34","83","0.506","4929","4694","51.22","3619","3598","50.15","2561","2537","50.24","205","226","47.56","234.38","233.36","50.11","2175","2206","49.65","1265","1308","49.16","154","186","45.29","12.17","85.78","898","959","48.36","646","681","48.68","91","135","40.27","14.09","80.18","1277","1247","50.59","619","627","49.68","63","51","55.26","10.18","91.87","2348","2140","52.32","1216","1150","51.39","47","35","57.32","3.87","96.96","8.00","91.09","0.991"
"5","Columbus Blue Jackets","82","4976.7","43","32","7","38","93","0.567","4445","4424","50.12","3336","3343","49.95","2431","2524","49.06","225","214","51.25","206.83","200.07","50.83","2008","1896","51.43","1208","1207","50.02","187","170","52.38","15.48","85.92","831","775","51.74","637","612","51.00","132","112","54.10","20.72","81.70","1177","1121","51.22","571","595","48.97","55","58","48.67","9.63","90.25","2039","2087","49.42","1160","1230","48.54","34","42","44.74","2.93","96.59","9.26","91.52","1.008"
"6","Calgary Flames","82","4995.05","35","40","7","28","77","0.470","4243","4744","47.21","3124","3321","48.47","2199","2347","48.37","202","238","45.91","194.04","211.62","47.83","1856","2118","46.70","1136","1244","47.73","164","188","46.59","14.44","84.89","735","844","46.55","565","655","46.31","104","127","45.02","18.41","80.61","1121","1274","46.81","571","589","49.22","60","61","49.59","10.51","89.64","2052","2232","47.90","1004","1021","49.58","37","44","45.68","3.69","95.69","9.19","89.86","0.990"
"7","Chicago Blackhawks","82","5007.45","46","21","15","40","107","0.652","4905","4036","54.86","3637","3013","54.69","2717","2229","54.93","261","212","55.18","225.03","193.51","53.76","2216","1802","55.15","1405","1123","55.58","207","164","55.80","14.73","85.40","925","757","54.99","749","597","55.65","158","99","61.48","21.09","83.42","1291","1045","55.27","656","526","55.50","49","65","42.98","7.47","87.64","2243","1919","53.89","1239","1034","54.51","50","46","52.08","4.04","95.55","9.61","90.49","1.001"
"8","Colorado Avalanche","82","5002.9333","52","22","8","47","112","0.683","4313","4943","46.60","3249","3741","46.48","2421","2678","47.48","245","216","53.15","212.87","236.66","47.35","2014","2248","47.25","1275","1389","47.86","191","174","52.33","14.98","87.47","860","992","46.44","656","745","46.82","131","136","49.06","19.97","81.74","1154","1256","47.88","619","644","49.01","60","38","61.22","9.69","94.10","1881","2226","45.80","1060","1207","46.76","51","39","56.67","4.81","96.77","10.12","91.93","1.021"
"9","Dallas Stars","82","4991.2833","40","31","11","36","91","0.555","4954","4746","51.07","3706","3536","51.17","2599","2492","51.05","231","222","50.99","250.46","233.65","51.74","2423","2281","51.51","1441","1393","50.85","193","178","52.02","13.39","87.22","978","955","50.59","703","712","49.68","135","114","54.22","19.20","83.99","1445","1326","52.15","738","681","52.01","58","64","47.54","7.86","90.60","2140","2036","51.25","1079","1027","51.23","32","40","44.44","2.97","96.11","8.89","91.09","1.000"
"10","Detroit Red Wings","82","5026.4333","39","28","15","34","93","0.567","4360","4213","50.86","3378","3199","51.36","2456","2402","50.56","217","221","49.54","204.83","198.14","50.83","1917","1864","50.70","1241","1207","50.69","185","179","50.82","14.91","85.17","743","797","48.25","580","636","47.70","111","118","48.47","19.14","81.45","1174","1067","52.39","661","571","53.65","74","61","54.81","11.20","89.32","2074","1983","51.12","1127","1110","50.38","30","37","44.78","2.66","96.67","8.84","90.80","0.996"
